publication_number,publication_date,country_code,application_number,filing_date,grant_date,titulo,resumo,codigos_cpc
US-2024133915-A1,20240425,US,US-202318491495-A,20231020,0,Photonic accelerometer,"Photonic accelerometers and systems containing the same are described herein. In one aspect, a photonic accelerometer includes: a resonator; a waveguide evanescently coupled to the resonator; a cantilever supporting the resonator, the cantilever including: (i) a first end fixed to a base, and (ii) a second, free end; and a proof mass supported by the free end of the cantilever. The resonator can be configured to store resonant photons in a mode at a resonant frequency. The waveguide can be configured to guide photons proximate the resonator to coupled resonant photons into the mode. The proof mass can be configured to deflect the cantilever based on motion of the base, where deflections of the cantilever cause shifts of the resonant frequency.",G01P15/18; G01P15/093; G01P15/093; G01P15/18; G01P15/093; G01P15/18
US-2024137772-A1,20240425,US,US-202118547989-A,20210226,0,Systems and methods for adaptive data security and operational security controls of mobile devices,"Systems, methods, and computer-readable media may facilitate adaptive control of operations of a mobile device. A communication received by a mobile device may be detected. A location of a mobile device associated with an identified individual may be determined. A protocol record stored in a memory device may be accessed, and rules specified by the protocol record may be identified, where an operational adjustment rule may be mapped to one or more locations and may include criteria for identifying operational adjustments. The criteria may be used to identify the operational adjustments at least partially as a function of the location of the mobile device. The operational adjustments may be caused in accordance with the operational adjustment rule. The operational adjustment may include controlling whether to render content objects on the mobile device in response to the mobile device receiving the communication and/or to perform preemptive operations.",H04W12/63; H04W12/37; H04W12/40; H04L67/306; H04W12/63; H04W4/029; H04W12/02; H04L51/224; H04W12/37; H04W12/40
US-2024137893-A1,20240425,US,US-202218276770-A,20220217,0,Improvements in and relating to localisation in a telecommunication network,"A method of performing localisation of a User Equipment, UE, in a telecommunication network is provided. The method comprises receiving from a second network entity a location request, and identifying multiple Quality of Service, QoS, class for location services comprising a plurality of QoS requirements based on the location request.",H04W64/00; H04W28/0268; H04W64/00; H04W4/029; H04W64/00; H04W64/00; H04W4/021; H04W64/00; H04W4/029; H04L43/08; H04W88/14; H04W28/0268
US-2024139854-A1,20240502,US,US-202318482889-A,20231008,0,"Welding cell, use thereof and welding method performed therewith","A welding cell for a resistance spot welding, its use for resistance spot welding, and a welding method performed therewith are disclosed. The welding cell includes a system for implementing resistance spot welding technology, a data collecting system, a system for improving efficiency of data collection, and a processing, monitoring, and control system. The welding cell includes a data transmission priority manager for adjusting digit capacity, transmission rate and transmission frequency of the digitized signal, separately, for signals of each sensor, and a digital twin controller, which, based on the digitized signal, provides a control signal to the control unit for controlling the electromechanical actuators and moving the electrodes of the welding cell. The welding cell provides for resistance spot welding with predictable and controllable quality, increased performance and reduced requirements to the computing unit performance of the welding cell, and reduced costs for equipping the welding cell.",B23K11/31; B23K11/314; B23K11/36; B23K11/11; B23K11/314; B23K11/115; B23K11/253; B23K11/255; B23K11/3018; B23K11/115; B23K11/314; B23K11/255; B23K11/241; B23K11/115; B23K11/253; B23K11/255; B23K11/3018
US-2024139887-A1,20240502,US,US-202218281257-A,20220307,0,Bonding sheet,A bonding sheet according to the present invention contains a matrix resin; solder particles; and a fluxing agent. The bonding sheet has a surface with a surface roughness Sa of 2.5 μm or less.,H05K2203/048; H05K3/368; H01R12/52; C22C12/00; C09J2463/00; C09J2433/00; C09J2400/20; C09J2400/16; C09J163/00; C09J11/06; C09J11/04; C09J9/02; C09J7/35; B23K35/0233; B23K35/264; B23K35/3613; B23K35/362; B23K35/365; B23K2101/36; B23K1/00; B23K35/0233; B23K1/00; B23K35/0205; B23K35/26; B23K35/3601; B23K35/40; C08K3/08; C08K5/09; C08L101/00; C09J7/35; C09J9/02; C09J11/04; C09J11/06; C09J201/00; C22C12/00; H01R11/01; B23K35/0205; B23K35/26; B23K35/3601; B23K35/40; C08K3/08; C08K5/09; B23K2101/36; B23K35/264; B23K35/3613; B23K35/362; B23K35/365; B23K35/3613; B23K35/0233; B23K35/365; B23K35/264; B23K35/362
US-2024141464-A1,20240502,US,US-202218548114-A,20220302,0,"Steel sheet for hot-dip galvanizing, hot-dip galvanized steel sheet, and alloyed hot-dip galvannealed steel sheet","A steel sheet may be used for hot-dip galvanizing capable of manufacturing hot-dip galvannealed steel sheet(s) with a high Si content and in which alloying unevenness is suppressed. Such a steel sheet for hot-dip galvanizing may include an internal oxide layer containing an oxide of Si between a surface layer of the steel sheet and a steel sheet base portion. The Si content in a chemical composition of the steel sheet may be 1.0 mass % or more. A solid solution Si amount from a surface of the steel sheet to a depth of 1 μm measured at all four positions including positions of 10 mm, 30 mm, and 50 mm from an edge in a coil width direction and a position of a center in the coil width direction at a rear end in a rolling direction of the steel sheet for hot-dip galvanizing may be 1.4 wt. % or less.",C21D8/02; C21D8/02; C21D9/46; C21D8/0205; C22C38/02; C22C38/04; C23C2/02; C23C2/06; C23C2/40; C23C2/06; C22C38/02; C22C38/04; C23C2/02; C21D1/76; C22C38/02; C21D9/46; C23C2/40; B32B15/013; C22C38/38; C22C38/34; C22C38/04; C22C38/06; C21D9/46; C23C2/02; C23C2/06; C23C2/40; C23C2/0224; C23C2/0222; C21D9/46; C22C38/02; C23C2/06; C23C2/40
US-2024142019-A1,20240502,US,US-202218279238-A,20220316,0,"Actuating device, sanitary installation and corresponding use","In an actuation apparatus ( 7 ) which is configured for actuating a valve arrangement ( 8 ), there is provision for the actuation elements ( 9 ) for a valve ( 10 ) each to be arranged at the corners of a convex polygon ( 11 ) with three or more corners.",F16K31/56; E03C1/0408; F16K11/22; F16K31/56; F16K31/56; E03C1/0408; F16K11/22; E03C1/0408; F16K11/22
US-2024142072-A1,20240502,US,US-202118563197-A,20210607,0,Anti-ligature lighting fixture,"A lighting fixture arranged and configured for use in an anti-ligature or ligature resistant environment or facility is disclosed. In one embodiment, the lighting fixture includes an inset door The lighting fixture includes an angled or beveled edge, wall, or surface along an outer periphery of the inset door so that a beveled, enlarged triangular opening is formed between the inset door and the enclosure of the lighting fixture. In use, the beveled opening eliminates any channel or access point between the inset door and the enclosure in which an object may be wedged.",F21V15/01; F21V15/005; F21S8/026; F21W2131/20; F21S8/026; F21S8/026; F21V15/01; F21V15/005; F21W2131/20
US-2024144494-A1,20240502,US,US-202318499092-A,20231031,0,System and/or method for conveyor motion estimation,"The method can include: sampling images of a conveyor region S 110 ; determining a set of patches S 120 ; estimating a displacement for each patch S 130 ; estimating a conveyor motion parameter(s) based on the patch displacement S 140 ; and optionally performing an action based on the conveyor motion parameter S 150 . However, the method S 100  can additionally or alternatively include any other suitable elements. The method S 100  functions to estimate a set of conveyor motion parameters (e.g., conveyor speed). Additionally or alternatively, the method can function to enable dynamic control of an independent robotic assembly system(s) to accommodate conveyor motion changes.",G06T7/292; B25J9/1697; B65G43/00; G06T7/248; G06T7/50; G06T7/70; G06T2207/10028; G06T2207/20021; G06T2207/30108; G06T7/292; B65G43/00; B25J9/1697; G06T7/248; G06T2207/30108; G06T7/50; G06T2207/20021; G06T2207/10028; G06T7/70; B25J9/1697; G05B2219/39102; G05B19/4182
US-2024146966-A1,20240502,US,US-202218286648-A,20220412,0,Method and apparatus for designing low frequency non-seperable transform,"According to the disclosure of the present disclosure: an LFNST set index for a current block may be derived on the basis of an intra prediction mode on the basis of the intra prediction mode for the current block being a WAIP mode, the LFNST set index may be derived as predetermined one value; and on the basis of the intra prediction mode for the current block being an NAIP mode, the LFNST set index may be derived as one of predetermined N values. Accordingly, it is possible to maximize the coding performance that can be brought about by LFNST within the implementation complexity allowed by a next standard.",H04N19/124; H04N19/119; H04N19/186; H04N19/61; H04N19/11; H04N19/124; H04N19/176; H04N19/18; H04N19/186; H04N19/593; H04N19/11; H04N19/61; H04N19/61; H04N19/18; H04N19/70; H04N19/593; H04N19/176; H04N19/12; H04N19/157; H04N19/18; H04N19/70; H04N19/186; H04N19/176; H04N19/132; H04N19/11; H04N19/11; H04N19/124; H04N19/176; H04N19/18; H04N19/186; H04N19/593
