publication_number,publication_date,country_code,application_number,filing_date,grant_date,titulo,resumo,codigos_cpc
US-2024331056-A1,20241003,US,US-202318192428-A,20230329,0,Ai-augmented composable and configurable microservices for determining a roll forward amount,"Provided herein are methods and systems for determining a roll forward amount. The method can include identifying a starting balance, extracting reconciled data values from a database, each reconciled data value having a confidence score that indicates a confidence level that a reconciled data value of a first dataset is the same as a corresponding reconciled data value of a second dataset. The method can include identifying a first subset of the reconciled data values that are a first type and a second subset of the reconciled data values that are a second type, and determining a roll forward amount based on the starting balance, the first subset, and the second subset.",G06F16/285; G06Q40/12; G06F16/285; G06Q40/12; G06F16/285; G06Q40/12
US-2024331133-A1,20241003,US,US-202418604629-A,20240314,0,"Image processing apparatus, image processing method, and storage medium","A usage ratio calculation unit calculates a reference transparency, and generates a reference reflected light usage ratio map and a reference transmitted light usage ratio map by using the calculated reference transparency. A weighted reference reflected light image and a weighted inspection reflected light image obtained by applying the reference reflected light usage ratio map to a reference reflected light image and an inspection reflected light image are generated. Similarly, a weighted reference transmitted light image and a weighted inspection transmitted light image obtained by applying the reference transmitted light usage ratio map to a reference transmitted light image and an inspection transmitted light image are generated. An inspection processing unit inspects a printed material based on a difference between the weighted reference reflected light image and the weighted inspection reflected light image and a difference between the weighted reference transmitted light image and the weighted inspection transmitted light image.",G06T7/001; G06V10/60; G06V10/24; G06V10/24; G06V10/60; G06T2207/30144; G06T7/001; G06T2207/30144; G06V10/60; G06V10/24; G06T7/001
US-2024331432-A1,20241003,US,US-202418741370-A,20240612,0,Method and apparatus for data structuring of text,"Provided are method and apparatus for data structuring of text. The apparatus for data structuring of text includes a processor; and a memory storing instructions executable by the processor, wherein the processor is configured to execute the instructions to: extract text and location information of the text from an image, set text units for the extracted text, assigning a first tag and a second tag to at least one of the text units, connect text units with related tags among the text units allocated the first tag and the second tag, label the connected text units as first text, second text, and third text respectively corresponding to an item name, an item value, and others based on a natural language processing model, and structure the extracted text by mapping the second text to the first text.",G06V30/414; G06V30/19093; G06V30/412; G06V30/12; G06V30/416; G06F40/20; G06F16/953; G06F40/103; G06V30/412; G06V30/413; G06F16/53; G06V30/416; G06V30/414; G06V30/412; G06V30/19093; G06V30/12; G06F40/20; G06F16/953; G06V30/413; G06V30/133; G06V30/19147; G06V30/413; G06V30/418
US-2024333548-A1,20241003,US,US-202418607882-A,20240318,0,Spatial interaction for virtual in-car meetings,A method for providing communication between an intravehicular conferee who is in a vehicle and first and second extravehicular conferees who are outside the vehicle includes causing speech by the first extravehicular conferee to originate from a first zone in the vehicle and causing speech by the second extravehicular conferee to originate from a second zone in the vehicle. The first and second zones are volumes of space in a cabin of the vehicle.,H04N7/157; H04N7/15; H04S2400/11; H04S7/303; H04R2499/13; H04M2242/14; H04M3/568; H04R27/00; H04R2499/13; H04L12/189; H04R3/12; H04S2400/11; H04R2499/13; H04S7/303; H04L12/189
US-2024333655-A1,20241003,US,US-202318191561-A,20230328,0,Fair and performant arbitration in a routing component,"In one embodiment, a method by a routing component includes receiving a packet to be forwarded to a neighboring routing component, the packet being predicted to be further forwarded to a plurality of destinations from the neighboring routing component, storing the packet to a FIFO queue, determining to transmit the packet to the neighboring routing component for one or more destinations by using an arbiter associated with a transmission port connected to the neighboring routing component, determining that the plurality of destinations comprise one or more remaining destinations in addition to the one or more destinations, reading without popping the packet from the FIFO queue, and transmitting the packet to the neighboring routing component through the transmission port.",H04L47/623; H04L47/6245; H04L47/623; H04L47/6245; H04L47/623; H04L47/6245
US-2024333825-A1,20241003,US,US-202218579675-A,20220701,0,Button Control Method for Electronic Device and Electronic Device,"An electronic device includes a display screen and at least one button. The display screen is a foldable screen. In a process in which a user uses the electronic device, a function that needs to be responded to by a button on the electronic device may be adaptively adjusted based on a physical form of the foldable screen of the electronic device, so that a button function that conforms to a using habit of the user can still be provided when the foldable screen of the electronic device is in a different physical form.",H04M1/72466; G06F2203/04102; G06F1/1652; G06F1/1677; G06F3/0346; H04M1/236; H04M1/0268; H04M1/0216; G06F1/1647; G06F2203/04102; H04M1/0214; G06F1/1671; G06F1/1641; G06F1/1652; G06F1/1694; G06F1/1677; H04M1/72466; H04M1/0268; H04M1/236; G06F3/0346; H01H13/14; G06F3/0346; H04M1/0245; H04M1/0245; G06F1/1647; H04M2201/38; H04M1/236; H04M1/0268; H04M1/0216; G06F1/1647; H04M1/0245
US-2024336416-A1,20241010,US,US-202418750311-A,20240621,0,Pouch,"A pouch with a pair of stacked sheet parts and a pair of side seal parts at both edges extending in a first direction of the pair of sheet parts and sealed to form an accommodation space. At least one side seal part has a first seal part positioned close to a top part, a second seal part positioned close to a bottom part and separated from the first seal part, and a steam releasing seal part connecting the first and the second seal parts. The steam releasing seal part exhibits a triangular shape having a peak part on an accommodation space side and is symmetrical to a first virtual line passing through the peak part and orthogonal to the first direction. A region surrounded by the steam releasing seal part is a non-sealed region, and the non-sealed region of at least one sheet part has a penetration part.",B65D75/5805; B65D75/008; B65D77/225; B65D81/3461; B65D33/01; B65D81/3461; B65D75/5805; B65D75/008; B65D33/01; B65D75/30; B65D75/32; B65D81/34; B65D81/3461; B65D75/5805; B65D75/008; B65D75/32
US-2024340634-A1,20241010,US,US-202318296833-A,20230406,0,Autonomous Operation of User Equipment With Artificial Intelligence/Machine Learning Model Capability,"A wireless terminal comprising receiver circuitry, processor circuitry, and transmitter circuitry. The receiver circuitry is configured to receive from a radio access network at least one message which requests the wireless terminal to report Artificial Intelligence/Machine Learning Model (AI/ML) related information to the network. The processor circuitry is configured to generate at least one resource restriction response message from the wireless terminal. The resource restriction response message comprises an indication that the wireless terminal guards AI/ML model and/or AI/ML functions of the wireless terminal. The transmitter circuitry is configured to transmit the at least one resource restriction response message to the network.",H04W8/22; H04W48/02; H04W48/02; H04W8/22; H04W48/02; H04W8/22
US-2024340672-A1,20241010,US,US-202218579040-A,20220714,0,Method and device for transmitting or receiving channel state information in wireless communication system,"Disclosed are a method and a device for transmitting or receiving channel state information in a wireless communication system. A method by which a terminal transmits channel state information (CSI), according to one embodiment of the present disclosure, may comprise the steps of: receiving, from a base station, first configuration information related to a CSI report and second configuration information related to a CSI resource; receiving, from the base station, a CSI-reference signal (CSI-RS) on a plurality of CSI resources of M CSI resource sets on the basis of the second configuration information; and transmitting the CSI report to the base station on the basis of the CSI-RS and the first configuration information.",H04B17/328; H04L5/0051; H04L27/0012; H04L27/2032; H04L5/0026; H04L5/0035; H04L5/001; H04L5/0073; H04L5/0091; H04L5/0048; H04L5/0057; H04B7/0626; H04W24/08; H04B7/024; H04B7/0417; H04B7/06; H04W24/10; H04W24/10; H04L5/0051; H04W24/10; H04B17/328
US-2024340821-A1,20241010,US,US-202318494451-A,20231025,0,Synchronization signal block design for narrowband operation,"Various aspects of the present disclosure generally relate to wireless communication. In some aspects, a user equipment (UE) may receive, from a network node, a synchronization signal block (SSB) associated with an SSB configuration for an operating band having a transmission bandwidth that is narrower than a channel bandwidth. The UE may decode the SSB based at least in part on the SSB configuration. Numerous other aspects are described.",H04W56/001; H04W56/0015; H04L1/0068; H04W56/0015; H04L1/0068; H04W56/0015
US-2024344500-A1,20241017,US,US-202418637277-A,20240416,0,Hybrid wind and solar energy generating system,"A hybrid wind and solar energy generating system includes one or more solar arrays of solar panels arranged at an angle relative to a horizontal plane of reference, defining leading and trailing boundaries on such panels. A wind turbine is mounted proximate to the trailing boundary on a horizontal axis with blades extending longitudinally and in operative proximity to the trailing boundaries. A source of wind is amplified passing over the windward side of the solar panels to form a resultant wind vector extending outwardly off the trailing boundary.",F03D3/002; H02S10/12; F03D9/007; Y02E10/50; F03D9/11; H02S10/12; F03D9/007; H02S10/12; F03D9/11; F03D9/007
US-2024344993-A1,20241017,US,US-202318523814-A,20231129,0,Methods for creating large-area complex nanopatterns for nanoimprint molds,"Some embodiments of the invention provide methods that can create large area complex patterns for nanoimprint molds without or with very litter of the use of the charged beam or photon beam direct-writing of nanostructures. Some embodiments of the invention use (i) Fourier nanoimprint patterning (FNP), (ii) edge-guided nanopatterning (EGN), and (iii) nanostructure self-perfection, and their combinations.",G01N21/6486; G01N21/648; B29C59/02; B29C33/56; B29C33/424; B29K2995/0005; B29C2059/023; G03F7/0002; B29C59/026; B29C37/0003; B29C33/56; B29C33/424; B29K2995/0005; B29C2059/023; G03F7/0002; B29C59/026; G01N21/658; B29C37/0003; B29K2995/0005; B29C2059/023; B29C33/424; G03F7/0002; G01N21/6486; G01N21/648; B29C59/026; B29C59/02; B29C37/0003; B29C33/56; G01N21/658
US-2024345340-A1,20241017,US,US-202418753162-A,20240625,0,Self-aligned structure and method on interposer-based pic,Structures and methods that provide and maintain precise lateral registration between mounted optical devices and waveguides formed on an optical interposer structure use a methodology in which a same patterned mask layer is utilized to pattern a plurality of alignment features requiring alignment and the waveguide cores to which mounted devices are aligned in the formation of photonic integrated circuits. Subsequent burial and re-exposure of the patterned mask layer in subsequent processing steps maintains the feature registration provided with the use of the self-aligned layer throughout the formation of the optical interposer and the alignment structures provided thereon.,G02B6/4228; G02B6/30; G02B6/4245; G02B6/4244; G02B6/4243; G02B6/4232; G02B6/136; G02B6/4224; G02B6/423; G02B6/4204; G02B6/4203; G02B6/423; G02B6/4238; G02B6/4234; G02B6/4238; G02B6/423; G02B6/4203; G02B6/4234
US-2024345456-A1,20241017,US,US-202418617087-A,20240326,0,Uniform Camera-Lighting System,"Various embodiments of a method and apparatus for lighting a region of interest are disclosed. The region of interest is an image capture region, which is a region that the camera captures in an image. Strips of light are placed in a trough. The trough has four sections that are joined together to form a rectangle that is mounted on a camera, surrounding the camera, placing the strips of light surrounding the camera and therefore surrounding the lens. In some embodiments, the strips of light are mounted to point 44 degrees outward from the direction that the camera points. In some embodiments, each portion of the trough has two parallel strips of lights.",H04N23/74; G03B17/55; G03B15/02; H04N23/74; G03B17/55; G03B15/02; H04N23/74; G03B17/55; G03B15/02
US-2024346224-A1,20241017,US,US-202418757046-A,20240627,0,Signal transfer with a bridge and hybrid bumps,"Systems or methods of the present disclosure may provide a multi-chip package with two or more integrated circuit devices that each include hybrid bumps. The hybrid bumps may include bumps of different sizes to facilitate different types of communication. For example, the hybrid bumps may include a first bump with fine pitch for die-to-die communication and/or a second bump with a large pitch for off-package communication. The multi-chip package may include a bridge to facilitate signal transfer between the integrated circuit device with the hybrid bumps and other components within the multi-chip package. Additionally or alternatively, the multi-chip package may include an interconnect to facilitate signal transfer between two integrated circuit devices. The interconnect may include fine pitch bumps, which may be translated by an interposer to a pitch size of the bridge. As such, the interconnect may facilitate die-to-die communication and/or off-package communication.",G06F30/392; G06F2119/10; G06F30/33; G06F30/33; G06F2119/10; G06F30/392; G06F2119/10; G06F30/33; G06F30/392; H10W90/00; H10W90/701; H10W72/20; H10W44/20; H10W72/0198
US-2024346664-A1,20241017,US,US-202418621158-A,20240329,0,"Image processing apparatus, image processing method, and non-transitory computer-readable storage medium","An image processing apparatus comprising one or more memories storing instructions and one or more processors that execute the instructions to acquire first information including likelihoods of tracking targets in a plurality of first candidates of the tracking target in a target image by using a tracking technique for tracking an object in an image, acquire second information including likelihoods of tracking targets in a plurality of second candidates of the tracking target in the target image by using a detection technique for detecting an object in an image, generate a determination reference for determining, based on the first information and the second information, whether a state is a lost state in which it is not possible to specify a tracking target, and determine, using the determination reference, whether the target image is set in a lost state.",G06V10/454; G06V10/62; G06V10/82; G06V10/255; G06T7/246; G06T2207/20084; G06T2207/20081; G06T2207/30241; G06T2207/30232; G06T2207/30196; G06V2201/07; G06V10/25; G06V10/44; G06V2201/07; G06T7/20; G06V2201/07; G06V10/44; G06V10/25; G06T7/20
US-2024348409-A1,20241017,US,US-202418752232-A,20240624,0,"Method and apparatus for configuration, measurement and reporting of channel state information for lte tdd with dynamic ul/dl configuration",A method of operating a time division duplex (TDD) wireless communication system is disclosed. The method includes establishing communications with a remote transceiver. A subframe configuration including static and flexible subframes is determined and transmitted to the remote transceiver. A channel state information (CSI) report is received from the remote transceiver in response to the subframe configuration.,H04W76/00; H04L1/00; H04L5/14; H04L5/0053; H04W72/542; H04W72/54; H04W72/21; H04L5/0091; H04L5/1469; H04L1/0023; H04W28/0231; H04L5/0053; H04L5/0091; H04L5/1469; H04L1/0023; H04L5/0073; H04L5/0073; H04W72/542; H04W72/54; H04W28/0231; H04L5/1469; H04L5/14; H04L5/0091; H04W76/00; H04W72/21; H04L5/0053; H04L1/0023; H04L1/00; H04L5/0073
US-2024349030-A1,20241017,US,US-202218293577-A,20220808,0,Method and apparatus for session restoration,Embodiments of the present disclosure provide method and apparatus for session restoration. A method performed by a network node includes receiving a first request for setting up a session with required quality of service (QOS) from an application node. The method further includes sending a first response including error information and subscription information of an existing session including a subscription identifier to the application node.,H04W60/04; H04W8/18; H04L69/167; H04L47/805; H04L12/1407; H04L67/02; H04W76/11; H04W76/12; H04L47/808; H04L47/805; H04L47/80; H04L47/748; H04L47/74; H04W28/0268; H04M15/61; H04M15/8228; H04M15/8016; H04M15/8011; H04L12/1407; H04M15/66; H04W8/18; H04W8/18; H04L69/167; H04L47/805; H04L12/1407; H04W8/18
US-2024349116-A1,20241017,US,US-202318133348-A,20230411,0,Multicast flow optimizations in a multi-level backhaul mesh of a wireless network,"In one embodiment, an intermediate device in a backhaul mesh for a wireless network receives a registration from an access point of the wireless network in communication with a mobile system. The intermediate device receives a packet that is multicast by a gateway into the backhaul mesh and destined for the mobile system. The intermediate device makes, based on the registration, a determination that the packet should be sent to the access point. The intermediate device sends the packet to the access point for transmittal to the mobile system.",H04W28/06; H04W40/023; H04L12/189; H04W4/06; H04W4/06; H04W40/023; H04L12/189; H04W60/00; H04W28/06; H04L12/189; H04W60/00; H04W40/023; H04W4/06; H04W28/06
US-2024351764-A1,20241024,US,US-202218684446-A,20220816,0,"Article packaging methods, and blanks used therefore","Article packaging includes a retention panel and a retention structure formed, at least in part, by the retention panel and configured to engage the article. The retention structure includes a retention surface configured to contact the article. The article packaging also includes a friction coating disposed on at least a portion of the retention surface of the retention structure. The friction coating impedes movement of the article relative to the retention panel.",B65D71/46; B65D65/42; B65B17/025; B65D2571/0032; B65D71/46; B65D71/42; B65D71/42; B65D71/46; B65D65/42; B65B17/025; B65D71/42
US-2024352627-A1,20241024,US,US-202418760566-A,20240701,0,"Compound and composition for organic optoelectronic device, organic optoelectronic deivce, and display device","Disclosed are a composition for an organic optoelectronic device including at least one kind of a first host compound represented by the Chemical Formula 1 and at least one kind of a second host compound represented by the Chemical Formula 2, and an organic optoelectronic device and a display device including the composition.",C09K2211/185; D10B2101/122; D02G3/16; D01H13/04; D01H5/72; D01H1/14; D01H1/04; D01G99/00; D01F9/127; B65H2701/314; B65H54/2896; B65H51/015; H10K2101/90; H10K2101/10; H10K50/11; H10K85/6572; H10K85/622; C07D409/14; C09K2211/1011; C09K2211/1059; C07D409/04; C07D209/86; C07D405/14; C07D401/04; C07D405/04; C09K2211/1044; C09K2211/1088; C07D401/14; C09K2211/1092; C07D251/24; C09K2211/1029; C09K2211/1007; C09K11/06; C09K11/06; H10K50/11; H10K50/12; H10K85/657; H10K85/631; H10K85/649; C07D401/10; H10K2101/90; H10K2101/10; H10K50/11; H10K85/6572; H10K85/654; H10K85/622; C07D209/86; C07D409/14; C07D409/04; C07D405/04; C07D401/04; C07D405/14; C07D401/14; C09K2211/1092; C09K2211/1088; C09K2211/1059; C09K2211/1044; C09K2211/1029; C09K2211/1011; C09K2211/1007; C09K11/06; H10K85/654; C07D251/24; C07D251/24; D10B2101/122; B65H2701/314; D02G3/16; D01H13/04; D01H1/14; D01H1/04; D01G99/00; D01F9/127; B65H54/2896; B65H51/015; D01H5/72
US-2024354390-A1,20241024,US,US-202418763856-A,20240703,0,Visual login,"Systems and methods are provided for intelligent driving monitoring systems, advanced driver assistance systems and autonomous driving systems, and providing one-click driver image labeling to facilitate the assignment of drive time to a driver. Various aspects of the driver and/or passengers may be determined, which may include a driver identifier previously associated with the driver, whether the driver is wearing a facial covering, whether an image of the driver is partially occluded, whether the driver is facing in the direction of the camera, and whether an image of the driver is expected to be easily recognizable to a person tasked with assigning representative driver images to driver identifiers. These determinations may be used to improve the efficacy and ease-of-use of a visual login system.",B60W2040/0809; B60W40/08; G06V10/774; G06V10/82; G06V40/172; G06V10/762; G06V20/59; B60W2540/043; B60W2540/215; G06V10/7788; G06V10/82; G06V20/59; G06V10/762; G06V40/172; G06F21/32; G07C9/37; B60W2540/215; B60W2540/043; B60W2040/0809; G06V40/172; G06V20/59; G06V10/82; G06V10/774; G06V10/762; B60W40/08; G06F21/32
US-2024356690-A1,20241024,US,US-202418763846-A,20240703,0,Communication method and apparatus,"This application relates to the communication field, and discloses a communication method and apparatus, The method includes: A first terminal device receives first frame information and second frame information from a network device, where the first frame information indicates to divide a resource block in a subframe into M*N time-frequency resource areas, and indicates that O time-frequency resource areas in the M*N time-frequency resource areas are used for signal transmission, and the second frame information indicates that R time-frequency resource units in each of the O time-frequency resource areas are used for signal transmission, where the resource block includes PM*QN time-frequency resource units, M, N, O, P, Q, and R are integers greater than or equal to 1, O is less than or equal to M*N, and R is less than or equal to P*Q. The first terminal device sends a signal.",H04L5/005; H04L5/0044; H04L5/0005; H04L25/0226; H04W72/23; H04W72/0453; H04L25/03987; H04L25/03006; H04W72/0453; H04L5/0005; H04W72/0446; H04W72/0446; H04L5/0005
US-2024359322-A1,20241031,US,US-202118682672-A,20210914,0,Robot system and robot control device,"To record the load exerted on a robot according to changes over time without changing the environment and configuration under which the robot is used. A robot system including a robot, a robot control device that controls the robot, and a sensor that is able to detect information about a force exerted on the robot, the robot control device including a record processing unit that stores a first reference load profile in a storage unit, and a determination unit that determines at least the presence or absence of an external force exerted on the robot according to the first reference load profile and the load exerted on the robot detected by the sensor, and the record processing unit storing the load in the storage unit as a second reference load profile depending on the state of the external force.",B25J9/1676; G05B2219/40202; G05B2219/40201; G05B2219/40582; B25J9/1633; B25J13/085; B25J9/1633
US-2024360921-A1,20241031,US,US-202218682020-A,20220809,0,Auto bit check for pneumatic valve verification,"An auto bit check feature for pneumatic valve verification as coupled with a gas line that may be coupled with a semiconductor device process chamber. The gas line can be charged to keep a connected valve closed, where activation of a solenoid forces the gas to bleed out and open the valve. The pneumatic gas line may be is purged to keep a connected valve closed, where activation of the solenoid forces gas to flow in the line and apply a pressure to open the valve. One or more airlines may be coupled between solenoid and the valve, depending on the type of solenoid and/or valve. Described is a method to auto verify that a valve is correctly connected to a specific solenoid in a pneumatic bank. The method can enable verification that a particular solenoid opens a desired valve.",H10P72/0402; H10P72/0402; F16K31/06; F16K37/005; F16K27/003; F16K37/0083; F16K27/003; F16K37/005; H01L21/67017; F16K37/0083; H10P72/0402
US-2024362767-A1,20241031,US,US-202318139132-A,20230425,0,Anomaly detection for component through machine-learning based image processing and considering upper and lower bound values,"Implementations process an image, using a machine learning (ML) model, to generate a reduced dimensionality ML output. The image captures component(s) of an environment (e.g., an industrial automation facility) and can be captured via a vision component of a mobile robot within the environment. The ML output indicates, for each of N regions of the image, a corresponding anomaly detection probability that indicates whether an anomaly is present in a respective region, of the N regions of the image. Those implementations determine, based on the ML output, a quantity of anomaly detection probabilities that each satisfy a threshold. Those implementations further determine whether the quantity is both greater than a lower bound value and less than an upper bound value and, if so, cause remediating action(s) to be performed, such as causing rendering of an alert that indicates an anomaly is present for the component(s).",G06T2207/20084; B25J9/163; B25J9/161; B25J9/1697; B25J9/1674; B25J13/08; B25J19/023; B25J19/06; G05B13/042; G06N3/0464; G06T7/0004; G06T2207/20084; G06T7/70; G06T7/0008; B25J9/1697; G06T2207/20081; G06T2207/30244; G06V10/25; G06V10/25; G06T2207/20081; B25J9/1697; G06T2207/30244; G06T7/70; G06T7/0008; G06T2207/30244; G06T2207/20081; G06V10/25; G06T7/70; B25J9/1697; G06T7/0008
US-2024363022-A1,20241031,US,US-202218508517-A,20220516,0,Refreshable braille display system,"A refreshable Braille display system ( 100 ) includes a plurality of Braille cells ( 101 ), an interface ( 103 ), and a microcontroller unit ( 104 ). Each of the braille cells ( 101 ) includes an array of openings such that each opening ( 101   a ) houses a Braille dot element ( 105 ). A motor ( 102 ) is positioned within each opening ( 101   a ) to raise or lower the Braille dot element. The microcontroller unit ( 104 ) is configured to determine an input received from the interface ( 103 ) and selectively control the motor ( 102 ) to cause a rotary motion of the selected Braille dot element ( 105 ) based on the determined input.",G09B21/004; G09B21/004; G09B21/004
US-2024363389-A1,20241031,US,US-202318387059-A,20231106,0,Mass transfer device with pneumatic needles,"A mass transfer device with pneumatic needles is disclosed, which is mainly composed of three parts: a pneumatic needle visual system, a crystal film transfer system, and a substrate transfer system; the pneumatic needle visual system comprises a marble platform, a support beam, camera mounting plates, cameras, guide rails of a needle slide component, stators of the needle slide motor, the needle slide component, a pressure regulating valve, a high-frequency piezoelectric ceramic valve, a needle connection plate and an air nozzle thimble; the crystal film transfer system comprises brackets, stators of the linear motors, limit plates, a crystal film transfer frame, a crystal film stage and a crystal film; the substrate transfer system comprises guide rails, a stator of a substrate transfer frame motor, a substrate transfer frame, a fixed plate, and a target substrate.",H10P72/741; H10P72/7622; H10P72/78; H10P72/741; H10P72/78; H10P72/3202; H10P72/3212; H10P72/7622; H10H20/01; H10H20/018; H01L2221/68313; H01L21/68778; H01L21/6838
US-2024364100-A1,20241031,US,US-202418644373-A,20240424,0,Overcurrent protection based on slope detection,"Disclosed is a control circuit, for use in a solid state battery disconnect and protection system, wherein control circuit includes a high-voltage switch coupled between an electric battery and a DC link capacitor of an electric vehicle, wherein the electric vehicle is powered by the electric battery, and a control block. The control block may by operable to monitor a rate of change and a value of a current on a connection to the high-voltage switch, determine whether the rate of change of the current exceeds a first predetermined threshold and determine whether the value of the current exceeds a second predetermined threshold, and determine an overcurrent fault exists in the case that the first or second predetermined threshold is exceeded.",B60L58/15; B60L58/10; H02H1/0007; H02H3/08; H02H7/18; B60Y2200/91; B60L2270/20; H02H3/445; H02H7/205; B60L3/0046; B60L3/0069; H02H1/0007; H02H7/18; H02H3/445; H02H7/18; H02H3/087; H02H1/0007; H02H7/18
US-2024365410-A1,20241031,US,US-202418768094-A,20240710,0,Tunnel Failure Signaling Procedures,"A user plane function (UPF) receives, from a control plane function (CPF), a request to establish a layer 2 tunneling protocol (L2TP) tunnel for a first protocol data unit (PDU) session of a wireless device. The UPF sends, to the CPF, a message comprising a tunnel failure cause for the establishment of the L2TP tunnel for the first PDU session. The message indicating at least one of a L2TP tunnel failure of the L2TP tunnel, or a L2TP session failure associated with the L2TP tunnel.",H04L12/4633; H04W76/11; H04W76/12; H04W76/12; H04L12/4633; H04W76/12
US-2024367565-A1,20241107,US,US-202318224776-A,20230721,0,Bearing device for vehicle,"A bearing device for a vehicle includes a main body unit mounted on a mounting region in a rail structure configured so that the mounting region is formed on a first rail that is any one of two rails rail-coupled to slide and the first rail slides along a second rail, a first shape unit provided to protrude from an upper surface of the main body unit and be in contact with the second rail and formed to damp a vibration in a first direction transmitted to the main body unit, and a second shape unit provided to protrude from a side surface of the main body unit and be in contact with the second rail and formed to damp a vibration in a second direction transmitted to the main body unit.",F16C29/02; B60N2/773; F16C29/002; F16C33/1025; F16C29/02; F16C2326/01; F16C2223/30; F16C33/106; F16C29/02; B60N2/773; F16C29/002; F16C29/002; B60N2/773
US-2024368176-A1,20241107,US,US-202418647107-A,20240426,0,Antiviral Heterocyclic Compounds,"The present invention discloses compounds of Formula (I), or pharmaceutically acceptable salts, esters, or prodrugs thereof 
     
       
         
         
             
             
         
       
     
     which inhibit Human Respiratory Syncytial Virus (HRSV) or Human Metapneumovirus (HMPV) inhibitors. The present invention further relates to pharmaceutical compositions comprising the aforementioned compounds for administration to a subject suffering from HRSV or HMPV infection. The invention also relates to methods of treating an HRSV or HMPV infection in a subject by administering a pharmaceutical composition comprising the compounds of the present invention.",C07D491/048; C07D491/044; C07D471/04; C07D471/04; C07D491/044; C07D491/052; C07D491/052; C07D491/048; C07D491/048; C07D491/044; C07D471/04; C07D491/052
US-2024368200-A1,20241107,US,US-202218290892-A,20221006,0,Preparation of imine-functional organosilicon compounds and primary amino-functional organosilicon compounds,An organosilicon compound with a primary amino-functional group is prepared. A catalyzed reductive amination process for combining a secondary imine-functional organosilicon compound with ammonia and hydrogen produces the primary amino-functional organosilicon compound.,B01J31/185; C08G77/26; B01J31/185; C08G77/26; C07F7/0838; C07F7/10; C07F7/0872; C07F7/0889; C07F7/0889; C07F7/0838; C08G77/26; C07F7/0889
US-2024369051-A1,20241107,US,US-202318142019-A,20230501,0,Portable electric inflator,"A portable electric inflator includes: a core assembly including a motor and an air compressing mechanism, the motor configured to drive the air compressing mechanism to compress and discharge air; a housing defining a receiving space for accommodating the core assembly, and having an external surface that defines a display receiving hole and a number of through holes communicating with the receiving space; a cloth in full contact with and covering the external surface of the housing, the cloth defining an opening, an edge of the opening extending from a junction of the display receiving hole and the external surface of the housing into the housing, forming a side surface covering portion that is in contact with an inner side surface of the display receiving hole; and a display received in the display receiving hole, the display comprising a lateral surface abutting against the side surface covering portion.",A47C27/082; F04D25/084; F04D25/0673; F04B39/12; F04B35/04; F04B35/06; F04B35/06; F04B37/10; F04B35/04; F04B39/121; F04B39/121; F04B39/121; F04B37/10; F04B35/04
US-2024370270-A1,20241107,US,US-202318142732-A,20230503,0,Fault Isolation In A Director Processor Slice or Board,"One or more aspects of the present disclosure relate to isolating faults corresponding to a thread or thread group to avoid dropping a director processor slice or board. In embodiments, an execution flow corresponding to a slice on a director board of a storage array is monitored. For example, the execution flow includes a thread or a thread group. Additionally, an exception event corresponding to the execution flow is identified. Further, the execution flow is isolated based on an analysis of the exception event.",G06F9/3861; G06F9/30038; G06F9/30038; G06F9/3861; G06F9/30018; G06F9/3861
US-2024370907-A1,20241107,US,US-202318142172-A,20230502,0,Machine learning generated ranking of user reviews,"Systems and methods herein describe ranking reviews that specify details of a host user. The described systems and methods access a set of reviews associated with a host user and listing data, and for each review in the set of reviews, generate a first relevancy score associated with the host user and a second relevancy score associated with the listing data using a transformer machine learning model, determine a first rank score for the review based on the first relevancy score. The systems and methods cause display of the set of reviews in an order based on the associated first rank score on a graphical user interface of a computing device.",G06Q30/0282; G06N3/0455; G06Q30/0282; G06N3/0455; G06Q30/0282
US-2024371823-A1,20241107,US,US-202418771168-A,20240712,0,Method for producing circuit board and resin sheet used therein,"A method for producing a circuit board which includes (X) a step of laminating a resin sheet having a support that has a first surface and a second surface and a resin composition layer formed on the second surface of the support onto a substrate so that the resin composition layer is bonded to the substrate, and satisfies the following conditions (i), (ii-1), and (ii-2):
         (i) an ambient pressure is reduced simultaneously with or prior to bonding the resin composition layer to the substrate;   (ii-1) a total specific surface area of an inorganic filler in the resin composition layer is 1.5 m 2 /g or more (in terms of non-volatile components); and   (ii-2) a surface resistivity of the first surface of the support is 1.0×10 10  Ω/sq. or less,   is capable of suppressing generation of an interface void and an increase in a surface potential of a support even when a substrate having a large area is used.",H10W72/0198; H10W70/60; H10W70/69; C09J11/04; H10W72/0198; C09J2203/326; C09J7/38; H05K2203/049; H05K2201/0212; H05K3/0055; H05K3/4644; H01L2224/96; C09J2203/326; C09J11/04; C09J7/38; H01L24/96; H10W70/695
US-2024372239-A1,20241107,US,US-202418774211-A,20240716,0,System for crosstalk rejecting topology,A system for preventing crosstalk between adjacent channels comprises a crossover connector positioned along a length of one channel such that a portion of a positive trace for a first channel is positioned adjacent to a positive trace of a positive trace of an adjacent channel. The position of the crossover connector is based on preventing crosstalk and crossover connectors on adjacent channels may be staggered to further prevent crosstalk. A crossover connector may be based on capacitors or resistors to prevent crosstalk.,H01P11/007; H05K2201/09236; H05K1/162; H05K1/0231; H05K2201/09245; H01P1/20; H05K1/0228; H01P11/007; H01P1/20
